book_score	book_name	author	comment
8.7	阿Q正传	鲁迅 	哀其不幸，怒其不争
8.7	史蒂夫·乔布斯传	[美] 沃尔特·艾萨克森 	完美主义者的最高形态
8.7	倾城之恋	张爱玲 	棋逢对手，心照不宣
8.7	球状闪电	刘慈欣 	量子之外，没有真相
8.6	解忧杂货店	[日] 东野圭吾 	一碗精心熬制的东野牌鸡汤，拒绝很难
8.6	送你一颗子弹	刘瑜 	犀利又温柔，穿过胸口隐隐作痛
8.6	边城	沈从文 	如水一般的忧愁与怅惘
8.6	民主的细节	刘瑜 	公民养成手册
8.6	牧羊少年奇幻之旅	[巴西]保罗·柯艾略 	你自己就是最大的宝藏
8.6	情书	[日] 岩井俊二 	一场误会中的两段爱情，东方式的含蓄隐忍
8.6	白鹿原	陈忠实 	中国乡村史诗
8.6	月亮忘記了	幾米 	月明星稀的晚上，看不见的，看见了
8.6	半生缘	张爱玲 	世钧，我们回不去了
8.6	荆棘鸟	[澳] 考琳·麦卡洛 	澳洲乱世情
8.6	麦琪的礼物	[美] 欧·亨利 	日常的奇迹
8.6	往事并不如烟	章诒和 	知识分子的命运浮沉
8.6	我的路	寂地 	忧郁的温暖
8.6	世界尽头与冷酷仙境	[日] 村上春树 	交叉平行蒙太奇
8.5	不能承受的生命之轻	[捷克] 米兰·昆德拉 	朝向媚俗的一次伟大的进军
8.5	简爱（英文全本）	[英] 夏洛蒂·勃朗特 	灰姑娘在十九世纪
8.5	倾城之恋	张爱玲 	一段姻缘，需要一座城的倾覆来成全
8.5	苏菲的世界	（挪威）乔斯坦·贾德 	最平易近人的哲学入门
8.5	挪威的森林	[日] 村上春树 	初读是色情，再读是爱情，三读是世情
8.5	金锁记	张爱玲 	曹七巧就像希克厉，一个扭曲的英雄
8.5	那些回不去的年少时光	桐华 	所有你曾热爱却正在遗忘的人和事
8.5	香水	[德] 帕·聚斯金德 	恋味癖谋杀案
8.5	把时间当作朋友	李笑来 	
8.5	倚天屠龙记(共四册)	金庸 	不识张郎是张郎
8.4	向左走·向右走	幾米 	两条平行线相遇的可能
8.4	恶意	[日] 东野圭吾 	无缘由的恨，冰冷彻骨
8.4	悟空传	今何在 	猴子还是那个猴子，世界早已不是原来的世界
8.4	呼啸山庄	艾米莉·勃朗特 	近乎暴虐的爱与恨，中文译名后无来者
8.4	少有人走的路	[美] M·斯科特·派克 	成熟的心智通向更完善的自我
8.4	1Q84 BOOK 2	[日] 村上春树 	情节铺展渐次清明，高潮序曲
8.4	这些都是你给我的爱	文：安东尼 	只言片语的温暖
8.4	华胥引（全二册）	唐七公子 	现实不如梦中的圆满
8.4	红玫瑰与白玫瑰	张爱玲 	蚊子血还是饭黏子？
8.4	此间的少年	江南 	象牙塔里的金庸群侠
8.4	一個人住第5年	高木直子 	独居生活之乐
8.4	盗墓笔记3	南派三叔 	逼近死亡的云顶天宫之旅
8.4	如何阅读一本书	[美] 莫提默·J. 艾德勒 	读书的方法论
8.4	尘埃落定	阿来 	一个傻子的土司家族传奇
8.4	盗墓笔记4	南派三叔 	蛇沼鬼城，坑越挖越多了
8.4	七夜雪	沧月 	抵不过时间
8.3	1Q84 BOOK 1	[日] 村上春树 	村上的野望，欢迎来到1Q84年
8.3	狼图腾	姜戎 	我们都是 狼的传人？
8.3	盗墓笔记	南派三叔 	想象奇诡的大型RPG游戏
8.3	兄弟（上）	余华 	历史苦难中的个人灾变
8.3	老人与海	海明威 	正是悲壮赋予生活以意义
8.3	陪安东尼度过漫长岁月	安东尼 	真正的片段式写作
8.3	巴黎圣母院	[法]雨果 	潜藏于残缺下的美与崇高
8.3	地下铁	幾米 	黑暗世界中的点滴亮光
8.3	人间失格	太宰治 	令人无从怜悯的绝望
8.3	了不起的盖茨比	菲茨杰拉德 	梦，就像黛西家的那一缕绿光
8.3	乌合之众	(法)古斯塔夫.勒庞 	群氓心理剖析
8.3	匆匆那年（上下）	九夜茴 	不悔梦归处 只恨太匆匆
8.2	达·芬奇密码	[美] 丹·布朗 	一切畅销的因素都有了
8.2	天才在左 疯子在右	高铭 	简称“疯癫与文明”
8.2	穆斯林的葬礼	霍达 	时代烙印鲜明的民族史诗
8.2	茶花女	小仲马 	妓女应当拥有爱情吗？
8.2	无声告白	[美] 伍绮诗 	莉迪亚死了，可他们还不知道
